Bénéficiaire,Département,Nature du projet,Coût du projet (€),Subvention allouée (€),Dossier transmis par,Nature de la réserve
ABBEVILLE,80,"L'aménagement de l'aire de jeux ""picardie"" située quartier des provinces",100334,25000,MATHON Gilbert,Assemblée nationale
ABBEVILLE,80,"L'aménagement des vestiaires du terrain de rugby, situé côté de la justice",16318,5000,MATHON Gilbert,Assemblée nationale
ABBEVILLE-SAINT-LUCIEN,60,L'installation d'une alarme dans les bâtiments communaux,2620,1300,DASSAULT Olivier,Assemblée nationale
ABELCOURT,70,La sécurisation de la rd 6 en traverse du village (1ère tranche),38890,8000,RAISON Michel,Assemblée nationale
ABERE,64,La rénovation de la salle des fêtes,60095,6000,BAYROU François,Assemblée nationale
ABILLY,37,L'aménagement d'un préau sur l'ile de la claise,25433,12000,TOURAINE Marisol,Assemblée nationale
ABLON-SUR-SEINE,94,L'acquisition d'une balayeuse,108679,10000,LE MENN Jacky,Sénat
ABLON-SUR-SEINE,94,La réhabilitation de la rue du bac,38666,6000,PLACE Jean-Vincent,Sénat
ABONDANCE,74,La restauration des toitures des bâtiments conventuels de l'abbaye (programme 2012),415055,10000,FRANCINA Marc,Assemblée nationale
ACCOLAY,89,La restauration de la toiture de la nef de l'église,136203,19050,ROLLAND Jean-Marie,Assemblée nationale
ACHAIN,57,L'équipement de la salle communale,2958,1479,MARTY Alain,Assemblée nationale
ACHICOURT,62,La réhabilitation de la résidence du petit bapaume (1ère tranche),1057805,5000,MAQUET Jacqueline,Assemblée nationale
ACHUN,58,La réhabilitation de la mairie (2ème tranche),93213,10000,CARRERE Jean-Louis,Sénat
ACON,27,Travaux de voirie (programme 2011),105980,30000,-,Réserve ministérielle
ACQUIGNY,27,"L'acquisition de mobilier pour le groupe scolaire, le restaurant scolaire et la bibliothèque",37689,10000,BOURDIN Joël,Sénat
ACY,2,La réhabilitation et l'extension de la salle des fêtes et la construction d'un restaurant scolaire,719302,15000,VASSEUR Isabelle,Assemblée nationale
ACY-ROMANCE,8,L'acquisition de panneaux de signalisation,7769,3884,LAMENIE Marc,Sénat
ADAMSWILLER,67,La construction d'un accès pour les personnes à mobilité réduite à l'église,15621,2800,REICHARDT André,Sénat
AFFLEVILLE,54,La réhabilitation du logement communal locatif,63500,10000,-,Réserve ministérielle
AFFLEVILLE,54,La restructuration de la mairie,60437,4500,HUSSON Jean-François,Sénat
AFFOUX,69,La réhabilitation d'un bâtiment en mairie,742590,10000,-,Réserve ministérielle
AGDE,34,L'aménagement d'un terrain en gazon synthétique au complexe sportif daniel rivalta,400000,76000,D'ETTORE Gilles,Assemblée nationale
AGDE,34,La climatisation du département des bronzes du musée de l'ephèbe et d'archéologie sous-marine et l'acquisition de sondes et de vitrines,114133,30000,D'ETTORE Gilles,Assemblée nationale
AGDE,34,La réhabilitation d'un bâtiment communal en maison des services publics au grau d'agde,836120,50000,D'ETTORE Gilles,Assemblée nationale
AGEL,34,La réfection du centre ancien,146137,23000,RAOUL Daniel,Sénat
AGENVILLERS,80,L'acquisition de divers équipements pour la salle communale,8010,2000,DUBOIS Daniel,Sénat
AGNAT,43,La restauration de l'église (1ère tranche),149721,13500,PRORIOL Jean,Assemblée nationale
AGNEAUX,50,La construction d'un centre de santé pluridisciplinaire,2351281,50000,-,Réserve ministérielle
AGNICOURT-SECHELLES,2,La remise en état du pignon de la salle des fêtes,5530,2700,JEANNEROT Claude,Sénat
AGNIN,38,La construction de locaux commerciaux et de services au centre du village,252756,5000,DAVID Annie,Sénat
AGNIN,38,La restauration de l'église (1ère tranche),109667,15000,SAVIN Michel,Sénat
AGONAC,24,La construction d'un bâtiment regroupant la mairie et le centre de loisirs sans hébergement,1181300,3000,LANGLADE Colette,Assemblée nationale
AGONAC,24,"Le traitement des eaux pluviales, chemin des crozes, ruelle frotaire et rue des jardins",28031,5000,RAOUL Daniel,Sénat
AGOS-VIDALOS,65,La mise en place d'un dispositif de traitement des eaux pluviales,139467,6500,ROBIN-RODRIGO Chantal,Assemblée nationale
AGOS-VIDALOS,65,L'aménagement de l'esplanade de la mairie (1ère tranche),24643,8000,REINER Daniel,Sénat
AGUESSAC,12,L'acquisition et l'aménagement d'un local d'archives,16207,2000,HERVIAUX Odette,Sénat
AGY,14,La réfection de la voirie (programme 2012),119578,6000,DUPONT Jean-Léonce,Sénat
AHUY,21,La construction d'une salle d'activités multifonctionnelle,3156000,20000,DEPIERRE Bernard,Assemblée nationale
AIBRE,25,L'extension d'une salle de classe,43381,10000,CARTRON Françoise,Sénat
AIFFRES,79,La construction d'une salle omnisports à tartalin,4055184,4000,GAILLARD Geneviève,Assemblée nationale
AIGLEVILLE,27,"La mise en place de l'éclairage public, rue de la fontaine",2682,1300,PONIATOWSKI Ladislas,Sénat
AIGNAN,32,La construction d'un espace d'animation intergénérationnel,424585,12000,MARTIN Philippe,Assemblée nationale
AIGNEVILLE,80,La restauration de l'église,257676,15000,BIGNON Jérôme,Assemblée nationale
AIGONNAY,79,La réhabilitation de la salle des fêtes,250205,7622,DULAIT André,Sénat
AIGRE,16,"Aménagements de sécurité et de voirie, place fahrenkrug et rue du renclos",439621,5000,LAMBERT Jérôme,Assemblée nationale
AIGRE,16,"Aménagements de sécurité et d'accessibilité, rue traslefour",29147,3000,SUEUR Jean-Pierre,Sénat
AIGREMONT,30,"La construction de toilettes publiques sur le terrain communal ""champ de foire""",20912,10450,CARTRON Françoise,Sénat
AIGUES-VIVES,30,études préalables à la mise en valeur de la maison natale du président gaston doumergue,11450,5725,BEL Jean-Pierre,Sénat
AIGUILLON,47,Le réaménagement de l'école élémentaire marcel pagnol (8ème tranche),404000,15000,HERVIAUX Odette,Sénat
AILLEVILLERS-ET-LYAUMONT,70,La rénovation du gymnase,315000,40000,-,Réserve ministérielle
AILLIERES-BEAUVOIR,72,L'aménagement de la traversée du bourg (2ème tranche),98140,20000,-,Réserve ministérielle
AILLONCOURT,70,"La réhabilitation de l'ancien presbytère en salles socio-culturelle, associative et de réunion",184680,10000,MICHEL Jean-Pierre,Sénat
AILLY,27,Travaux d'éclairage public au bourg,2049,1000,PONIATOWSKI Ladislas,Sénat
AIMARGUES,30,"L'aménagement d'une aire de jeux, boulevard fanfonne guillierme",19381,9690,MOURRUT Etienne,Assemblée nationale
AIMARGUES,30,"La couverture des terrasses de la crèche ""les 3 pommes""",18390,6000,FOURNIER Jean-Paul,Sénat
AIME,73,Travaux de voirie (programme 2012),30056,5000,VIAL Jean-Pierre,Sénat
AINCOURT,95,La restauration des statues de saint jean l'evangéliste et saint jean-baptiste,8182,4091,HOUILLON Philippe,Assemblée nationale
AINCREVILLE,55,La démolition du pont de l'ancienne ligne de chemin de fer,6000,3000,DUMONT Jean-Louis,Assemblée nationale
AINGERAY,54,"La mise en sécurité de la desserte scolaire de la cantine intercommunale, rue de la mairie (1ère tranche)",131770,10000,MORENVILLIER Philippe,Assemblée nationale
AINGOULAINCOURT,52,"La restauration de la toiture, des façades et du plafond du coeur de l'église",43589,4000,SIDO Bruno,Sénat
AINGOULAINCOURT,52,L'effacement des réseaux aériens,98250,6000,SIDO Bruno,Sénat
AIRE,8,"L'aménagement d'une nouvelle voirie rue du moulin et la construction de trottoirs, route de l'etang",14827,5000,POLETTI Bérengère,Assemblée nationale
AIRE-SUR-LA-LYS,62,La restauration de la charpente et de la couverture de l'hôtel de ville,2846508,5000,LEFAIT Michel,Assemblée nationale
AISEREY,21,"L'aménagement d'une aire de jeux extérieurs pour enfants, place gau bickelheim",67949,13600,REBSAMEN François,Sénat
AISEY-ET-RICHECOURT,70,L'acquisition d'un bâtiment et d'un terrain en vue de la création d'une salle de convivialité,43000,10000,RAISON Michel,Assemblée nationale
AIX-EN-ERGNY,62,"La rénovation, l'extension et la mise en accessibilité de la mairie et de la salle communale",254435,15000,LE MENN Jacky,Sénat
AIX-EN-PROVENCE,13,La restructuration de la halle des sports du val de l'arc,251000,50000,JOISSAINS-MASINI Maryse,Assemblée nationale
AIX-EN-PROVENCE,13,L'aménagement d'espaces extérieurs à la pinette,190000,55000,JOISSAINS Sophie,Sénat
AIX-LES-BAINS,73,La restructuration écologique du tillet et l'aménagement d'un port à barques,1036660,150000,-,Réserve ministérielle
AIZANVILLE,52,L'aménagement de la place du village,49954,12000,GUENE Charles,Sénat
AIZE,36,L'aménagement des abords de la salle polyvalente,32173,4200,FORISSIER Nicolas,Assemblée nationale
AIZELLES,2,La réhabilitation d'un logement de la mairie en plusieurs logements locatifs,123105,5000,LEFEVRE Antoine,Sénat
AJAIN,23,La restructuration et la mise aux normes de la salle polyvalente,349029,9000,VERGNIER Michel,Assemblée nationale
ALAINCOURT,2,Le remplacement des portails de l'école,7680,3840,BERTRAND Xavier,Assemblée nationale
ALAINCOURT,70,L'enfouissement des réseaux électriques et le renforcement de l'éclairage public (3ème tranche),32199,7000,RAISON Michel,Assemblée nationale
ALAIRAC,11,L'aménagement et la mise en sécurité du chemin du moulin,56500,20000,CARTRON Françoise,Sénat
ALAIRAC,11,L'aménagement du terrain de football et de ses abords,24058,10000,HERVIAUX Odette,Sénat
ALBA-LA-ROMAINE,7,"L'aménagement de l'entrée du village, rd 263, de la croisée saint-pierre au pont d'alba",148225,10000,HERVIAUX Odette,Sénat
ALBAS,11,La consolidation de l'église,94980,18900,CARTRON Françoise,Sénat
ALBE,67,La réfection de la toiture de l'école rue de l'erlenbach,41827,8000,SITTLER Esther,Sénat
ALBERT,80,L'aménagement de la rue marcel vast,377161,40000,DEMILLY Stéphane,Assemblée nationale
ALBERT,80,L'aménagement du secteur des étangs du vélodrome (2ème tranche),333350,100000,-,Réserve ministérielle
ALBIAC,46,La construction de la nouvelle mairie,136226,10000,MARC François,Sénat
ALETTE,62,L'aménagement de la rd 151 de la traversée de toutendal (tranche ferme),407233,8000,VANLERENBERGHE Jean-Marie,Sénat
ALGRANGE,57,L'aménagement d'un préau dans la cour de l'école batzenthal,61298,4000,BRICQ Nicole,Sénat
ALINCOURT,8,La réhabilitation de l'assainissement de la salle communale et du logement,11184,5000,POLETTI Bérengère,Assemblée nationale
ALIXAN,26,"L'aménagement de la rue de la tour basse, de l'entrée de la place de la mairie et de la liaison sécurisée entre le centre historique et la place des écoles",294383,2500,THORAVAL Marie-Hélène,Assemblée nationale
ALIXAN,26,La restauration des remparts (programme 2012),297360,45000,HERVIAUX Odette,Sénat
ALLAINVILLE-AUX-BOIS,78,L'acquisition et l'installation de jeux pour enfants,15940,7970,LARCHER Gérard,Sénat
ALLAMPS,54,La réfection du carré militaire dans l'enceinte du cimetière,4400,2000,REINER Daniel,Sénat
ALLAN,26,La restructuration et l'extension du groupe scolaire (2ème et 3ème tranches),1024295,15000,REYNIER Franck,Assemblée nationale
ALLARMONT,88,La réfection des réseaux d'eau potable et d'eaux usées et de l'égout de la fontaine mathieu,107862,10000,ACCOYER Bernard,Assemblée nationale
ALLASSAC,19,La réfection de la charpente et de la toiture du foyer culturel,141952,10000,HERVIAUX Odette,Sénat
ALLAUCH,13,La modernisation des moyens numériques dans les groupes scolaires,64329,32164,CARRERE Jean-Louis,Sénat
ALLEGRE-LES-FUMADES,30,L'aménagement d'une place et d'une aire pour le tri sélectif du village,73253,5000,FOURNIER Jean-Paul,Sénat
ALLEINS,13,L'installation d'une vidéo-surveillance au parking de la vierge,12078,3000,REYNES Bernard,Assemblée nationale
ALLERIOT,71,L'assainissement du hameau de montaguière,348078,5000,EMORINE Jean-Paul,Sénat
ALLERY,80,La construction d'une cantine au groupe scolaire,215859,10000,BIGNON Jérôme,Assemblée nationale
ALLEX,26,L'installation d'un sanitaire public,37992,6000,MARITON Hervé,Assemblée nationale
ALLIBAUDIERES,10,"L'aménagement de voirie et de trottoirs, route de champigny",177800,6000,DHUICQ Nicolas,Assemblée nationale
ALLOGNY,18,"L'aménagement des routes d'henrichemont et de vierzon, de la rue du parc et d'une placette",176980,12000,FROMION Yves,Assemblée nationale
ALLONDANS,25,"La réfection et l'aménagement du local de stockage, rue des combes",42200,10000,HERVIAUX Odette,Sénat
ALLONNES,49,La mise aux normes et la réhabilitation d'un bâtiment communal en maison des jeunes,335000,19400,TAUGOURDEAU Jean-Charles,Assemblée nationale
ALLONS,47,Le regroupement de la mairie et de l'agence postale,137955,13000,DIEFENBACHER Michel,Assemblée nationale
ALLONZIER-LA-CAILLE,74,L'aménagement d'une bibliothèque municipale,203479,50000,ACCOYER Bernard,Assemblée nationale
ALLOUAGNE,62,La rénovation et la mise aux normes de la salle des fêtes,85600,30000,-,Réserve ministérielle
ALLOUE,16,L'extension et la mise aux normes de la cuisine de la salle polyvalente,119244,10000,SUEUR Jean-Pierre,Sénat
